nohup: ignoring input
>> soak: http://localhost:8000/recommend_bid  rate=3000/min  duration=2.0h  sample=60s  out=soak_metrics.csv
>> min  ok  err  req/min  p50  p95  p99  cpu%  mem  predlog  shaplag  pgconn
>>  78.0   3000    0    3000    31   48   66  174.99    997MiB    332552  256437     28
>>  79.0   3000    0    3000    31   48   67  186.61  998.5MiB    335551  259404     28
>>  80.0   2999    0    2999    31   47   63  174.81  997.8MiB    338552  262373     28
>>  81.0   3001    0    3001    31   47   59  174.65  998.2MiB    341553  265342     28
>>  82.0   3000    0    3000    31   48   61  179.14  998.2MiB    344551  268308     28
>>  83.0   2998    0    2998    31   48   62  182.65  998.4MiB    347551  271278     28
>>  84.0   3001    0    3001    31   47   60  178.12  998.3MiB    350551  274246     28
>>  85.0   3001    0    3001    31   48   61  185.37  998.7MiB    353553  277219     28
>>  86.0   3000    0    3000    31   47   60  222.59  998.8MiB    356551  280184     28
>>  87.0   3000    0    3000    31   48   67  179.22   1003MiB    359552  283158     28
>>  88.0   2998    0    2998    32   75  121  171.05   1006MiB    362555  286136     28
>>  89.0   3000    0    3000    63  117  161  178.80   1006MiB    365555  289107     28
>>  90.0   3000    0    3000    62  114  145  178.20   1006MiB    368555  292080     28
>>  91.0   3000    0    3000    64  124  161  173.61   1008MiB    371552  295047     28
>>  92.0   3000    0    3000    63  123  177  173.38   1008MiB    374552  298023     28
>>  93.0   3000    0    3000    64  116  150  171.33   1009MiB    377550  300993     28
>>  94.0   2999    0    2999    63  119  157  171.91   1009MiB    380552  303967     28
>>  95.0   3002    0    3002    63  119  168  176.20   1009MiB    383550  306941     28
>>  96.0   2997    0    2997    63  125  173  177.59   1011MiB    386555  309918     28
>>  97.0   3002    0    3002    64  119  157  176.79   1011MiB    389551  312886     28
>>  98.0   3000    0    3000    63  123  179  175.27   1013MiB    392555  315867     28
>>  99.0   3000    0    3000    62  114  150  174.59   1014MiB    395553  318836     28
>> 100.0   3001    0    3001    63  123  174  165.55   1013MiB    398552  321815     28
>> 101.0   3000    0    3000    63  120  157  170.09   1013MiB    401550  324785     28
>> 102.0   3000    0    3000    63  121  161  175.22   1013MiB    404552  327757     28
>> 103.0   3000    0    3000    63  122  169  166.70   1013MiB    407552  330729     28
>> 104.0   3000    0    3000    63  116  160  180.47   1014MiB    410555  333708     28
>> 105.0   3000    0    3000    64  120  162  179.58   1015MiB    413554  336683     28
>> 106.0   2998    0    2998    64  123  167  171.68   1017MiB    416553  339656     28
>> 107.0   3002    0    3002    63  123  161  178.24   1016MiB    419552  342636     28
>> 108.0   2999    0    2999    62  122  159  168.63   1016MiB    422553  345612     28
>> 109.0   3000    0    3000    63  125  166  174.20   1020MiB    425553  348588     28
>> 110.0   2998    0    2998    63  122  169  179.91   1021MiB    428554  351565     28
>> 111.0   3003    0    3003    62  120  161  179.92   1022MiB    431555  354544     28
>> 112.0   3000    0    3000    63  120  157  174.39   1023MiB    434550  357513     28
>> 113.0   3000    0    3000    63  121  169  178.59   1023MiB    437553  360495     28
>> 114.0   2997    0    2997    63  119  166  174.40   1023MiB    440551  363470     28
>> 115.0   3001    0    3001    63  117  161  176.54  1.002GiB    443550  366444     28
>> 116.0   3000    0    3000    62  118  158  172.99  1.002GiB    446551  369426     28
>> 117.0   3000    0    3000    63  118  160  175.86  1.002GiB    449552  372404     28
>> 118.0   2999    0    2999    63  125  174  186.58  1.002GiB    452552  375384     28
>> 119.0   3001    0    3001    63  118  167  192.70  1.004GiB    455553  378366     28
>> 120.0   2999    0    2999    62  116  155  173.25  1.002GiB    458552  381337     29

>> done. total ok=360089  errors=0  metrics -> soak_metrics.csv
>> check: is p99 flat across rows? did serve_mem creep? did shap_lag stay bounded? did pg_conns stay flat?
