nohup: ignoring input
>> host monitor: 8 cores, interval=2.0s, duration=7200.0s
>> time      cpu_total%  (of 800)  cores_busy  ram_used_mb  ram%
>> 09:51:46      312   ( 3.1 cores)    0/8         7159      23%
>> 09:51:48      306   ( 3.1 cores)    0/8         7163      23%
>> 09:51:50      305   ( 3.0 cores)    0/8         7170      23%
>> 09:51:52      339   ( 3.4 cores)    1/8         7167      23%
>> 09:51:54      304   ( 3.0 cores)    0/8         7172      23%
>> 09:51:56      309   ( 3.1 cores)    0/8         7177      23%
>> 09:51:58      313   ( 3.1 cores)    1/8         7163      23%
>> 09:52:00      300   ( 3.0 cores)    0/8         7168      23%
>> 09:52:02      303   ( 3.0 cores)    0/8         7168      23%
>> 09:52:04      322   ( 3.2 cores)    0/8         7169      23%
>> 09:52:06      313   ( 3.1 cores)    1/8         7165      23%
>> 09:52:08      317   ( 3.2 cores)    0/8         7176      23%
>> 09:52:10      302   ( 3.0 cores)    1/8         7174      23%
>> 09:52:12      304   ( 3.0 cores)    1/8         7168      23%
>> 09:52:14      347   ( 3.5 cores)    0/8         7223      23%
>> 09:52:16      363   ( 3.6 cores)    0/8         7153      23%
>> 09:52:18      404   ( 4.0 cores)    1/8         7310      23%
>> 09:52:20      374   ( 3.7 cores)    1/8         7179      23%
>> 09:52:22      334   ( 3.3 cores)    0/8         7177      23%
>> 09:52:24      309   ( 3.1 cores)    0/8         7182      23%
>> 09:52:26      305   ( 3.1 cores)    0/8         7169      23%
>> 09:52:28      314   ( 3.1 cores)    0/8         7169      23%
>> 09:52:30      304   ( 3.0 cores)    1/8         7170      23%
>> 09:52:32      309   ( 3.1 cores)    0/8         7161      23%
>> 09:52:34      309   ( 3.1 cores)    0/8         7168      23%
>> 09:52:36      360   ( 3.6 cores)    0/8         7145      23%
>> 09:52:38      317   ( 3.2 cores)    0/8         7164      23%
>> 09:52:40      305   ( 3.1 cores)    0/8         7170      23%
>> 09:52:42      307   ( 3.1 cores)    0/8         7170      23%
>> 09:52:44      306   ( 3.1 cores)    0/8         7167      23%
>> 09:52:46      319   ( 3.2 cores)    1/8         7172      23%
>> 09:52:48      307   ( 3.1 cores)    0/8         7188      23%
>> 09:52:50      295   ( 2.9 cores)    0/8         7190      23%
>> 09:52:52      330   ( 3.3 cores)    0/8         7176      23%
>> 09:52:54      326   ( 3.3 cores)    0/8         7172      23%
>> 09:52:56      303   ( 3.0 cores)    1/8         7149      23%
>> 09:52:58      303   ( 3.0 cores)    0/8         7164      23%
>> 09:53:00      303   ( 3.0 cores)    1/8         7169      23%
>> 09:53:02      305   ( 3.1 cores)    0/8         7179      23%
>> 09:53:04      314   ( 3.1 cores)    1/8         7168      23%
>> 09:53:06      350   ( 3.5 cores)    0/8         7164      23%
>> 09:53:08      306   ( 3.1 cores)    1/8         7172      23%
>> 09:53:10      310   ( 3.1 cores)    0/8         7173      23%
>> 09:53:12      309   ( 3.1 cores)    1/8         7167      23%
>> 09:53:14      320   ( 3.2 cores)    1/8         7173      23%
>> 09:53:16      318   ( 3.2 cores)    1/8         7159      23%
>> 09:53:18      307   ( 3.1 cores)    1/8         7158      23%
>> 09:53:20      362   ( 3.6 cores)    1/8         7180      23%
>> 09:53:22      414   ( 4.1 cores)    2/8         7163      23%
>> 09:53:24      317   ( 3.2 cores)    1/8         7157      23%
>> 09:53:26      311   ( 3.1 cores)    1/8         7154      23%
>> 09:53:28      310   ( 3.1 cores)    0/8         7162      23%
>> 09:53:30      302   ( 3.0 cores)    1/8         7164      23%
>> 09:53:32      296   ( 3.0 cores)    0/8         7165      23%
>> 09:53:34      328   ( 3.3 cores)    0/8         7161      23%
>> 09:53:36      337   ( 3.4 cores)    0/8         7154      23%
>> 09:53:38      307   ( 3.1 cores)    1/8         7157      23%
>> 09:53:40      305   ( 3.0 cores)    0/8         7160      23%
>> 09:53:42      311   ( 3.1 cores)    0/8         7162      23%
>> 09:53:44      309   ( 3.1 cores)    0/8         7177      23%
>> 09:53:46      320   ( 3.2 cores)    0/8         7157      23%
>> 09:53:48      324   ( 3.2 cores)    1/8         7167      23%
>> 09:53:50      339   ( 3.4 cores)    1/8         7176      23%
>> 09:53:52      322   ( 3.2 cores)    0/8         7180      23%
>> 09:53:54      313   ( 3.1 cores)    0/8         7163      23%
>> 09:53:56      305   ( 3.1 cores)    0/8         7176      23%
>> 09:53:58      311   ( 3.1 cores)    0/8         7171      23%
>> 09:54:00      309   ( 3.1 cores)    1/8         7172      23%
>> 09:54:02      302   ( 3.0 cores)    0/8         7179      23%
>> 09:54:04      310   ( 3.1 cores)    1/8         7182      23%
>> 09:54:06      328   ( 3.3 cores)    0/8         7174      23%
>> 09:54:08      308   ( 3.1 cores)    0/8         7184      23%
>> 09:54:10      312   ( 3.1 cores)    0/8         7176      23%
>> 09:54:12      307   ( 3.1 cores)    0/8         7184      23%
>> 09:54:14      316   ( 3.2 cores)    1/8         7156      23%
>> 09:54:16      302   ( 3.0 cores)    1/8         7162      23%
>> 09:54:18      311   ( 3.1 cores)    0/8         7181      23%
>> 09:54:20      311   ( 3.1 cores)    0/8         7175      23%
>> 09:54:22      362   ( 3.6 cores)    1/8         7190      23%
>> 09:54:24      428   ( 4.3 cores)    2/8         7169      23%
>> 09:54:26      309   ( 3.1 cores)    0/8         7178      23%
>> 09:54:28      320   ( 3.2 cores)    0/8         7186      23%
>> 09:54:30      309   ( 3.1 cores)    0/8         7188      23%
>> 09:54:32      305   ( 3.1 cores)    0/8         7194      23%
>> 09:54:34      329   ( 3.3 cores)    0/8         7173      23%
>> 09:54:36      330   ( 3.3 cores)    0/8         7175      23%
>> 09:54:38      320   ( 3.2 cores)    0/8         7173      23%
>> 09:54:40      330   ( 3.3 cores)    0/8         7176      23%
>> 09:54:42      298   ( 3.0 cores)    0/8         7176      23%
>> 09:54:44      314   ( 3.1 cores)    0/8         7171      23%
>> 09:54:46      315   ( 3.1 cores)    0/8         7170      23%
>> 09:54:48      304   ( 3.0 cores)    1/8         7162      23%
>> 09:54:50      324   ( 3.2 cores)    0/8         7180      23%
>> 09:54:52      312   ( 3.1 cores)    0/8         7178      23%
>> 09:54:54      314   ( 3.1 cores)    1/8         7146      23%
>> 09:54:56      300   ( 3.0 cores)    1/8         7154      23%
>> 09:54:58      308   ( 3.1 cores)    1/8         7162      23%
>> 09:55:00      318   ( 3.2 cores)    1/8         7154      23%
>> 09:55:02      312   ( 3.1 cores)    0/8         7173      23%
>> 09:55:04      313   ( 3.1 cores)    0/8         7149      23%
>> 09:55:06      313   ( 3.1 cores)    0/8         7160      23%
>> 09:55:08      309   ( 3.1 cores)    1/8         7161      23%
>> 09:55:10      309   ( 3.1 cores)    1/8         7158      23%
>> 09:55:12      305   ( 3.1 cores)    1/8         7158      23%
>> 09:55:14      298   ( 3.0 cores)    1/8         7161      23%
>> 09:55:16      315   ( 3.1 cores)    1/8         7151      23%
>> 09:55:18      311   ( 3.1 cores)    1/8         7157      23%
>> 09:55:20      308   ( 3.1 cores)    0/8         7154      23%
>> 09:55:22      300   ( 3.0 cores)    1/8         7154      23%
>> 09:55:24      348   ( 3.5 cores)    1/8         7173      23%
>> 09:55:26      431   ( 4.3 cores)    1/8         7472      24%
>> 09:55:28      333   ( 3.3 cores)    1/8         7174      23%
>> 09:55:30      307   ( 3.1 cores)    0/8         7161      23%
>> 09:55:32      314   ( 3.1 cores)    0/8         7170      23%
>> 09:55:34      304   ( 3.0 cores)    0/8         7172      23%
>> 09:55:36      338   ( 3.4 cores)    0/8         7181      23%
>> 09:55:38      313   ( 3.1 cores)    1/8         7177      23%
>> 09:55:40      306   ( 3.1 cores)    0/8         7177      23%
>> 09:55:42      303   ( 3.0 cores)    0/8         7178      23%
>> 09:55:44      303   ( 3.0 cores)    1/8         7179      23%
>> 09:55:46      309   ( 3.1 cores)    1/8         7161      23%
>> 09:55:48      305   ( 3.1 cores)    0/8         7159      23%
>> 09:55:50      337   ( 3.4 cores)    0/8         7185      23%
>> 09:55:52      306   ( 3.1 cores)    0/8         7191      23%
>> 09:55:54      324   ( 3.2 cores)    1/8         7174      23%
>> 09:55:56      312   ( 3.1 cores)    1/8         7166      23%
>> 09:55:58      305   ( 3.1 cores)    1/8         7169      23%
>> 09:56:00      315   ( 3.2 cores)    0/8         7169      23%
>> 09:56:02      316   ( 3.2 cores)    0/8         7172      23%
>> 09:56:04      313   ( 3.1 cores)    0/8         7185      23%
>> 09:56:06      304   ( 3.0 cores)    1/8         7186      23%
>> 09:56:08      312   ( 3.1 cores)    0/8         7186      23%
>> 09:56:10      308   ( 3.1 cores)    1/8         7184      23%
>> 09:56:12      341   ( 3.4 cores)    1/8         7184      23%
>> 09:56:14      326   ( 3.3 cores)    1/8         7187      23%
>> 09:56:16      302   ( 3.0 cores)    0/8         7182      23%
>> 09:56:18      310   ( 3.1 cores)    0/8         7188      23%
>> 09:56:20      305   ( 3.0 cores)    0/8         7171      23%
>> 09:56:22      306   ( 3.1 cores)    0/8         7158      23%
>> 09:56:24      313   ( 3.1 cores)    1/8         7160      23%
>> 09:56:26      306   ( 3.1 cores)    0/8         7174      23%
>> 09:56:28      418   ( 4.2 cores)    1/8         7356      23%
>> 09:56:30      358   ( 3.6 cores)    0/8         7189      23%
>> 09:56:32      299   ( 3.0 cores)    0/8         7168      23%
>> 09:56:34      304   ( 3.0 cores)    0/8         7175      23%
>> 09:56:36      337   ( 3.4 cores)    0/8         7154      23%
>> 09:56:38      311   ( 3.1 cores)    0/8         7162      23%
>> 09:56:40      310   ( 3.1 cores)    0/8         7179      23%
>> 09:56:42      329   ( 3.3 cores)    1/8         7161      23%
>> 09:56:44      302   ( 3.0 cores)    1/8         7171      23%
>> 09:56:46      310   ( 3.1 cores)    0/8         7172      23%
>> 09:56:48      307   ( 3.1 cores)    0/8         7178      23%
>> 09:56:50      299   ( 3.0 cores)    0/8         7191      23%
>> 09:56:52      306   ( 3.1 cores)    1/8         7176      23%
>> 09:56:54      324   ( 3.2 cores)    0/8         7169      23%
>> 09:56:56      318   ( 3.2 cores)    0/8         7162      23%
>> 09:56:58      311   ( 3.1 cores)    1/8         7150      23%
>> 09:57:00      303   ( 3.0 cores)    0/8         7154      23%
>> 09:57:02      314   ( 3.1 cores)    0/8         7164      23%
>> 09:57:04      307   ( 3.1 cores)    1/8         7168      23%
>> 09:57:06      315   ( 3.1 cores)    1/8         7164      23%
>> 09:57:08      307   ( 3.1 cores)    1/8         7160      23%
>> 09:57:10      304   ( 3.0 cores)    1/8         7153      23%
>> 09:57:12      319   ( 3.2 cores)    1/8         7153      23%
>> 09:57:14      293   ( 2.9 cores)    0/8         7159      23%
>> 09:57:16      312   ( 3.1 cores)    0/8         7171      23%
>> 09:57:18      305   ( 3.0 cores)    0/8         7173      23%
>> 09:57:20      303   ( 3.0 cores)    0/8         7180      23%
>> 09:57:22      308   ( 3.1 cores)    1/8         7156      23%
>> 09:57:24      360   ( 3.6 cores)    0/8         7151      23%
>> 09:57:26      326   ( 3.3 cores)    0/8         7157      23%
>> 09:57:28      295   ( 2.9 cores)    0/8         7164      23%
>> 09:57:30      401   ( 4.0 cores)    1/8         7298      23%
>> 09:57:32      385   ( 3.8 cores)    1/8         7173      23%
>> 09:57:34      295   ( 3.0 cores)    0/8         7180      23%
>> 09:57:36      377   ( 3.8 cores)    0/8         7177      23%
>> 09:57:38      323   ( 3.2 cores)    0/8         7161      23%
>> 09:57:40      306   ( 3.1 cores)    0/8         7178      23%
>> 09:57:42      311   ( 3.1 cores)    0/8         7186      23%
>> 09:57:44      298   ( 3.0 cores)    0/8         7188      23%
>> 09:57:46      305   ( 3.0 cores)    0/8         7193      23%
>> 09:57:48      314   ( 3.1 cores)    1/8         7180      23%
>> 09:57:50      314   ( 3.1 cores)    0/8         7182      23%
>> 09:57:52      303   ( 3.0 cores)    0/8         7185      23%
>> 09:57:54      316   ( 3.2 cores)    0/8         7178      23%
>> 09:57:56      301   ( 3.0 cores)    1/8         7178      23%
>> 09:57:58      318   ( 3.2 cores)    1/8         7174      23%
>> 09:58:00      295   ( 3.0 cores)    0/8         7181      23%
>> 09:58:02      304   ( 3.0 cores)    0/8         7165      23%
>> 09:58:04      337   ( 3.4 cores)    0/8         7185      23%
>> 09:58:06      332   ( 3.3 cores)    1/8         7185      23%
>> 09:58:08      316   ( 3.2 cores)    0/8         7180      23%
>> 09:58:10      312   ( 3.1 cores)    1/8         7175      23%
>> 09:58:12      309   ( 3.1 cores)    0/8         7160      23%
>> 09:58:14      315   ( 3.2 cores)    1/8         7150      23%
>> 09:58:16      330   ( 3.3 cores)    1/8         7160      23%
>> 09:58:18      296   ( 3.0 cores)    1/8         7167      23%
>> 09:58:20      328   ( 3.3 cores)    1/8         7155      23%
>> 09:58:22      308   ( 3.1 cores)    0/8         7167      23%
>> 09:58:24      320   ( 3.2 cores)    1/8         7177      23%
>> 09:58:26      311   ( 3.1 cores)    1/8         7178      23%
>> 09:58:28      304   ( 3.0 cores)    0/8         7177      23%
>> 09:58:30      323   ( 3.2 cores)    0/8         7175      23%
>> 09:58:32      374   ( 3.7 cores)    1/8         7165      23%
>> 09:58:34      404   ( 4.0 cores)    2/8         7183      23%
>> 09:58:36      328   ( 3.3 cores)    0/8         7165      23%
>> 09:58:38      314   ( 3.1 cores)    1/8         7178      23%
>> 09:58:40      318   ( 3.2 cores)    0/8         7170      23%
>> 09:58:42      314   ( 3.1 cores)    0/8         7186      23%
>> 09:58:44      312   ( 3.1 cores)    1/8         7165      23%
>> 09:58:46      316   ( 3.2 cores)    0/8         7173      23%
>> 09:58:48      311   ( 3.1 cores)    0/8         7184      23%
>> 09:58:50      316   ( 3.2 cores)    1/8         7172      23%
>> 09:58:52      312   ( 3.1 cores)    0/8         7172      23%
>> 09:58:54      321   ( 3.2 cores)    0/8         7164      23%
>> 09:58:56      310   ( 3.1 cores)    1/8         7173      23%
>> 09:58:58      327   ( 3.3 cores)    1/8         7176      23%
>> 09:59:00      315   ( 3.2 cores)    0/8         7170      23%
>> 09:59:02      308   ( 3.1 cores)    0/8         7168      23%
>> 09:59:04      317   ( 3.2 cores)    0/8         7169      23%
>> 09:59:06      309   ( 3.1 cores)    0/8         7169      23%
>> 09:59:08      310   ( 3.1 cores)    1/8         7158      23%
>> 09:59:10      308   ( 3.1 cores)    1/8         7162      23%
>> 09:59:12      310   ( 3.1 cores)    0/8         7166      23%
>> 09:59:14      334   ( 3.3 cores)    0/8         7161      23%
>> 09:59:16      315   ( 3.2 cores)    1/8         7163      23%
>> 09:59:18      304   ( 3.0 cores)    0/8         7184      23%
>> 09:59:20      309   ( 3.1 cores)    0/8         7173      23%
>> 09:59:22      305   ( 3.1 cores)    0/8         7184      23%
>> 09:59:24      343   ( 3.4 cores)    0/8         7188      23%
>> 09:59:26      323   ( 3.2 cores)    0/8         7185      23%
>> 09:59:28      309   ( 3.1 cores)    0/8         7178      23%
>> 09:59:30      306   ( 3.1 cores)    1/8         7174      23%
>> 09:59:32      312   ( 3.1 cores)    0/8         7177      23%
>> 09:59:34      338   ( 3.4 cores)    0/8         7185      23%
>> 09:59:36      447   ( 4.5 cores)    1/8         7175      23%
>> 09:59:38      317   ( 3.2 cores)    1/8         7166      23%
>> 09:59:40      301   ( 3.0 cores)    0/8         7175      23%
>> 09:59:42      302   ( 3.0 cores)    0/8         7175      23%
>> 09:59:44      307   ( 3.1 cores)    0/8         7175      23%
>> 09:59:46      306   ( 3.1 cores)    1/8         7177      23%
>> 09:59:48      307   ( 3.1 cores)    0/8         7181      23%
>> 09:59:50      308   ( 3.1 cores)    1/8         7167      23%
>> 09:59:52      302   ( 3.0 cores)    0/8         7170      23%
>> 09:59:54      313   ( 3.1 cores)    0/8         7179      23%
>> 09:59:56      314   ( 3.1 cores)    1/8         7170      23%
>> 09:59:58      312   ( 3.1 cores)    0/8         7176      23%
>> 10:00:00      314   ( 3.1 cores)    0/8         7181      23%
>> 10:00:02      306   ( 3.1 cores)    1/8         7183      23%
>> 10:00:04      308   ( 3.1 cores)    0/8         7164      23%
>> 10:00:06      308   ( 3.1 cores)    0/8         7180      23%
>> 10:00:08      300   ( 3.0 cores)    0/8         7180      23%
>> 10:00:10      314   ( 3.1 cores)    1/8         7156      23%
>> 10:00:12      312   ( 3.1 cores)    0/8         7177      23%
>> 10:00:14      308   ( 3.1 cores)    0/8         7181      23%
>> 10:00:16      325   ( 3.2 cores)    1/8         7215      23%
>> 10:00:18      357   ( 3.6 cores)    1/8         7162      23%
>> 10:00:20      320   ( 3.2 cores)    1/8         7173      23%
>> 10:00:22      314   ( 3.1 cores)    1/8         7175      23%
>> 10:00:24      308   ( 3.1 cores)    0/8         7183      23%
>> 10:00:26      326   ( 3.3 cores)    1/8         7184      23%
>> 10:00:28      306   ( 3.1 cores)    1/8         7182      23%
>> 10:00:30      308   ( 3.1 cores)    0/8         7180      23%
>> 10:00:32      305   ( 3.1 cores)    0/8         7170      23%
>> 10:00:34      312   ( 3.1 cores)    1/8         7155      23%
>> 10:00:36      349   ( 3.5 cores)    0/8         7155      23%
>> 10:00:38      433   ( 4.3 cores)    2/8         7471      24%
>> 10:00:40      336   ( 3.4 cores)    1/8         7169      23%
>> 10:00:42      313   ( 3.1 cores)    1/8         7174      23%
>> 10:00:44      302   ( 3.0 cores)    1/8         7173      23%
>> 10:00:46      310   ( 3.1 cores)    0/8         7184      23%
>> 10:00:48      303   ( 3.0 cores)    0/8         7182      23%
>> 10:00:50      347   ( 3.5 cores)    1/8         7173      23%
>> 10:00:52      304   ( 3.0 cores)    0/8         7173      23%
>> 10:00:54      303   ( 3.0 cores)    0/8         7161      23%
>> 10:00:56      317   ( 3.2 cores)    0/8         7169      23%
>> 10:00:58      302   ( 3.0 cores)    1/8         7169      23%
>> 10:01:00      324   ( 3.2 cores)    0/8         7164      23%
>> 10:01:02      299   ( 3.0 cores)    1/8         7158      23%
>> 10:01:04      311   ( 3.1 cores)    0/8         7173      23%
>> 10:01:06      306   ( 3.1 cores)    1/8         7175      23%
>> 10:01:08      298   ( 3.0 cores)    0/8         7177      23%
>> 10:01:10      326   ( 3.3 cores)    0/8         7171      23%
>> 10:01:12      309   ( 3.1 cores)    0/8         7162      23%
>> 10:01:14      311   ( 3.1 cores)    0/8         7175      23%
>> 10:01:16      318   ( 3.2 cores)    0/8         7174      23%
>> 10:01:18      304   ( 3.0 cores)    0/8         7176      23%
>> 10:01:20      321   ( 3.2 cores)    0/8         7167      23%
>> 10:01:22      315   ( 3.2 cores)    1/8         7165      23%
>> 10:01:24      305   ( 3.0 cores)    1/8         7178      23%
>> 10:01:26      343   ( 3.4 cores)    0/8         7168      23%
>> 10:01:28      312   ( 3.1 cores)    1/8         7174      23%
>> 10:01:30      310   ( 3.1 cores)    0/8         7180      23%
>> 10:01:32      348   ( 3.5 cores)    0/8         7173      23%
>> 10:01:34      310   ( 3.1 cores)    0/8         7178      23%
>> 10:01:36      344   ( 3.4 cores)    1/8         7152      23%
>> 10:01:38      302   ( 3.0 cores)    0/8         7160      23%
>> 10:01:40      416   ( 4.2 cores)    2/8         7342      23%
>> 10:01:42      373   ( 3.7 cores)    1/8         7165      23%
>> 10:01:44      308   ( 3.1 cores)    1/8         7175      23%
>> 10:01:46      318   ( 3.2 cores)    0/8         7180      23%
>> 10:01:48      299   ( 3.0 cores)    1/8         7179      23%
>> 10:01:50      297   ( 3.0 cores)    1/8         7189      23%
>> 10:01:52      328   ( 3.3 cores)    1/8         7181      23%
>> 10:01:54      308   ( 3.1 cores)    0/8         7186      23%
>> 10:01:56      327   ( 3.3 cores)    0/8         7168      23%
>> 10:01:58      306   ( 3.1 cores)    1/8         7178      23%
>> 10:02:00      307   ( 3.1 cores)    0/8         7173      23%
>> 10:02:02      310   ( 3.1 cores)    1/8         7168      23%
>> 10:02:04      307   ( 3.1 cores)    0/8         7179      23%
>> 10:02:06      330   ( 3.3 cores)    1/8         7167      23%
>> 10:02:08      298   ( 3.0 cores)    1/8         7166      23%
>> 10:02:10      303   ( 3.0 cores)    0/8         7182      23%
>> 10:02:12      309   ( 3.1 cores)    0/8         7180      23%
>> 10:02:14      309   ( 3.1 cores)    0/8         7191      23%
>> 10:02:16      319   ( 3.2 cores)    1/8         7176      23%
>> 10:02:18      297   ( 3.0 cores)    0/8         7182      23%
>> 10:02:20      301   ( 3.0 cores)    1/8         7175      23%
>> 10:02:22      310   ( 3.1 cores)    1/8         7164      23%
>> 10:02:24      304   ( 3.0 cores)    0/8         7178      23%
>> 10:02:26      319   ( 3.2 cores)    1/8         7156      23%
>> 10:02:28      303   ( 3.0 cores)    1/8         7156      23%
>> 10:02:30      304   ( 3.0 cores)    1/8         7156      23%
>> 10:02:32      313   ( 3.1 cores)    0/8         7159      23%
>> 10:02:34      375   ( 3.7 cores)    1/8         7175      23%
>> 10:02:36      336   ( 3.4 cores)    0/8         7182      23%
>> 10:02:38      306   ( 3.1 cores)    0/8         7184      23%
>> 10:02:40      301   ( 3.0 cores)    1/8         7184      23%
>> 10:02:42      436   ( 4.4 cores)    1/8         7252      23%
>> 10:02:44      373   ( 3.7 cores)    1/8         7186      23%
>> 10:02:46      318   ( 3.2 cores)    0/8         7171      23%
>> 10:02:48      295   ( 2.9 cores)    1/8         7172      23%
>> 10:02:50      309   ( 3.1 cores)    1/8         7173      23%
>> 10:02:52      321   ( 3.2 cores)    0/8         7171      23%
>> 10:02:54      305   ( 3.0 cores)    1/8         7173      23%
>> 10:02:56      347   ( 3.5 cores)    1/8         7159      23%
>> 10:02:58      378   ( 3.8 cores)    1/8         7161      23%
>> 10:03:00      311   ( 3.1 cores)    0/8         7170      23%
>> 10:03:02      323   ( 3.2 cores)    0/8         7173      23%
>> 10:03:04      317   ( 3.2 cores)    0/8         7172      23%
>> 10:03:06      304   ( 3.0 cores)    0/8         7187      23%
>> 10:03:08      303   ( 3.0 cores)    1/8         7182      23%
>> 10:03:10      309   ( 3.1 cores)    1/8         7182      23%
>> 10:03:12      305   ( 3.0 cores)    0/8         7185      23%
>> 10:03:14      310   ( 3.1 cores)    1/8         7177      23%
>> 10:03:16      345   ( 3.5 cores)    0/8         7179      23%
>> 10:03:18      314   ( 3.1 cores)    1/8         7178      23%
>> 10:03:20      302   ( 3.0 cores)    1/8         7178      23%
>> 10:03:22      316   ( 3.2 cores)    1/8         7171      23%
>> 10:03:24      313   ( 3.1 cores)    0/8         7167      23%
>> 10:03:26      326   ( 3.3 cores)    0/8         7169      23%
>> 10:03:28      291   ( 2.9 cores)    0/8         7180      23%
>> 10:03:30      298   ( 3.0 cores)    0/8         7188      23%
>> 10:03:32      343   ( 3.4 cores)    1/8         7186      23%
>> 10:03:34      304   ( 3.0 cores)    0/8         7179      23%
>> 10:03:36      335   ( 3.3 cores)    1/8         7175      23%
>> 10:03:38      311   ( 3.1 cores)    0/8         7183      23%
>> 10:03:40      306   ( 3.1 cores)    1/8         7182      23%
>> 10:03:42      314   ( 3.1 cores)    0/8         7177      23%
>> 10:03:44      383   ( 3.8 cores)    0/8         7175      23%
>> 10:03:46      406   ( 4.1 cores)    2/8         7191      23%
>> 10:03:48      319   ( 3.2 cores)    1/8         7163      23%
>> 10:03:50      307   ( 3.1 cores)    1/8         7181      23%
>> 10:03:52      312   ( 3.1 cores)    0/8         7180      23%
>> 10:03:54      310   ( 3.1 cores)    0/8         7191      23%
>> 10:03:56      304   ( 3.0 cores)    0/8         7194      23%
>> 10:03:58      312   ( 3.1 cores)    0/8         7175      23%
>> 10:04:00      308   ( 3.1 cores)    1/8         7182      23%
>> 10:04:02      397   ( 4.0 cores)    0/8         7175      23%
>> 10:04:04      314   ( 3.1 cores)    1/8         7182      23%
>> 10:04:06      299   ( 3.0 cores)    0/8         7193      23%
>> 10:04:08      308   ( 3.1 cores)    1/8         7191      23%
>> 10:04:10      334   ( 3.3 cores)    1/8         7174      23%
>> 10:04:12      301   ( 3.0 cores)    0/8         7178      23%
>> 10:04:14      309   ( 3.1 cores)    1/8         7171      23%
>> 10:04:16      297   ( 3.0 cores)    1/8         7171      23%
>> 10:04:18      309   ( 3.1 cores)    1/8         7194      23%
>> 10:04:20      296   ( 3.0 cores)    0/8         7193      23%
>> 10:04:22      309   ( 3.1 cores)    1/8         7166      23%
>> 10:04:24      316   ( 3.2 cores)    0/8         7169      23%
>> 10:04:26      299   ( 3.0 cores)    0/8         7182      23%
>> 10:04:28      327   ( 3.3 cores)    1/8         7184      23%
>> 10:04:30      308   ( 3.1 cores)    0/8         7192      23%
>> 10:04:32      310   ( 3.1 cores)    0/8         7173      23%
>> 10:04:34      314   ( 3.1 cores)    0/8         7188      23%
>> 10:04:36      339   ( 3.4 cores)    1/8         7171      23%
>> 10:04:38      313   ( 3.1 cores)    1/8         7191      23%
>> 10:04:40      293   ( 2.9 cores)    0/8         7195      23%
>> 10:04:42      312   ( 3.1 cores)    0/8         7200      23%
>> 10:04:44      322   ( 3.2 cores)    0/8         7180      23%
>> 10:04:46      339   ( 3.4 cores)    0/8         7193      23%
>> 10:04:48      430   ( 4.3 cores)    2/8         7373      23%
>> 10:04:50      306   ( 3.1 cores)    0/8         7187      23%
>> 10:04:52      309   ( 3.1 cores)    0/8         7195      23%
>> 10:04:54      339   ( 3.4 cores)    1/8         7165      23%
>> 10:04:56      323   ( 3.2 cores)    0/8         7167      23%
>> 10:04:58      367   ( 3.7 cores)    1/8         7169      23%
>> 10:05:00      309   ( 3.1 cores)    0/8         7172      23%
>> 10:05:02      301   ( 3.0 cores)    1/8         7181      23%
>> 10:05:04      310   ( 3.1 cores)    1/8         7177      23%
>> 10:05:06      309   ( 3.1 cores)    1/8         7178      23%
>> 10:05:08      317   ( 3.2 cores)    0/8         7168      23%
>> 10:05:10      302   ( 3.0 cores)    0/8         7175      23%
>> 10:05:12      306   ( 3.1 cores)    0/8         7178      23%
>> 10:05:14      321   ( 3.2 cores)    1/8         7170      23%
>> 10:05:16      314   ( 3.1 cores)    0/8         7178      23%
>> 10:05:19      309   ( 3.1 cores)    1/8         7181      23%
>> 10:05:21      298   ( 3.0 cores)    0/8         7189      23%
>> 10:05:23      312   ( 3.1 cores)    0/8         7203      23%
>> 10:05:25      316   ( 3.2 cores)    1/8         7180      23%
>> 10:05:27      317   ( 3.2 cores)    0/8         7186      23%
>> 10:05:29      322   ( 3.2 cores)    1/8         7166      23%
>> 10:05:31      300   ( 3.0 cores)    0/8         7174      23%
>> 10:05:33      309   ( 3.1 cores)    1/8         7174      23%
>> 10:05:35      320   ( 3.2 cores)    0/8         7186      23%
>> 10:05:37      331   ( 3.3 cores)    0/8         7189      23%
>> 10:05:39      310   ( 3.1 cores)    1/8         7191      23%
>> 10:05:41      303   ( 3.0 cores)    0/8         7193      23%
>> 10:05:43      304   ( 3.0 cores)    0/8         7195      23%
>> 10:05:45      319   ( 3.2 cores)    1/8         7188      23%
>> 10:05:47      304   ( 3.0 cores)    0/8         7190      23%
>> 10:05:49      304   ( 3.0 cores)    1/8         7198      23%
>> 10:05:51      433   ( 4.3 cores)    2/8         7422      24%
>> 10:05:53      341   ( 3.4 cores)    0/8         7195      23%
>> 10:05:55      311   ( 3.1 cores)    1/8         7188      23%
>> 10:05:57      303   ( 3.0 cores)    0/8         7178      23%
>> 10:05:59      316   ( 3.2 cores)    0/8         7179      23%
>> 10:06:01      308   ( 3.1 cores)    1/8         7197      23%
>> 10:06:03      314   ( 3.1 cores)    1/8         7197      23%
>> 10:06:05      310   ( 3.1 cores)    0/8         7190      23%
>> 10:06:07      305   ( 3.0 cores)    0/8         7190      23%
>> 10:06:09      305   ( 3.0 cores)    0/8         7199      23%
>> 10:06:11      317   ( 3.2 cores)    0/8         7189      23%
>> 10:06:13      310   ( 3.1 cores)    1/8         7178      23%
>> 10:06:15      339   ( 3.4 cores)    0/8         7186      23%
